"" "gene_symbol"
"FBgn0085290" "CG34261"
"FBti0019917" ""
"FBgn0043900" "pygo"
"FBgn0044050" "Ilp3"
"FBti0062330" ""
"FBgn0263501" "lncRNA:CR43490"
"FBgn0032303" "CG6508"
"FBti0062622" ""
"FBgn0035049" "Mmp1"
"FBti0063402" ""
"FBgn0050487" "CG30487"
"FBgn0082959" "snoRNA:Psi28S-3405b"
"FBti0062527" ""
"FBgn0085209" "CG34180"
"FBgn0030148" "CG3106"
"FBgn0034612" "CG10505"
"FBti0062073" ""
"FBti0064267" ""
"FBgn0286940" "CG46434"
"FBti0060970" ""
"FBti0019027" ""
"FBti0019552" ""
"FBgn0028746" "CG18508"
"FBti0060337" ""
"FBgn0267879" "CR46167"
"FBgn0031201" "CG12446"
"FBgn0054051" "CG34051"
"FBti0020083" ""
"FBgn0037964" "CG14731"
"FBgn0035024" "CG11414"
"FBtr0304316_df_nrg" ""
"FBgn0010385" "Def"
"FBgn0037057" "CG10512"
"FBgn0014006" "Ask1"
"FBgn0037920" "CG14710"
"FBti0062513" ""
"FBti0020191" ""
"FBti0060544" ""
"FBgn0037336" "CG2519"
"FBgn0031279" "CG3544"
"FBgn0004183" "snRNA:U1:82Eb"
"FBti0062809" ""
"FBti0061785" ""
"FBgn0052204" "CG32204"
"FBtr0304354_df_nrg" ""
"FBti0060626" ""
"FBti0063979" ""
"FBgn0283525" "l(2)10685"
"FBgn0035405" "CG15812"
"FBti0064080" ""
"FBgn0050114" "CG30114"
"FBgn0011296" "l(2)efl"
"FBgn0002638" "Rcc1"
"FBgn0264383" "lncRNA:CR43835"
"FBgn0032476" "CG5439"
"FBti0020151" ""
"FBgn0263321" "CG43402"
"FBgn0028984" "Spn88Ea"
"FBgn0051414" "Gba1b"
"FBti0061671" ""
"FBgn0053806" "His3:CG33806"
"FBgn0053556" "form3"
"FBgn0284442" "Mcm3"
"FBti0064276" ""
"FBgn0265892" "lncRNA:CR44681"
"FBgn0027279" "l(1)G0196"
"FBti0019101" ""
"FBgn0023541" "Cyp4d14"
"FBgn0031419" "CG15390"
"FBti0062240" ""
"FBgn0036770" "Prestin"
"FBgn0261064" "Rbsn-5"
"FBgn0039770" "CG15537"
"FBti0020145" ""
"FBgn0010389" "htl"
"FBgn0036289" "CG10657"
"FBgn0267262" "lncRNA:CR45698"
"FBgn0028833" "Dak1"
"FBti0061086" ""
"FBti0059973" ""
"FBti0060212" ""
"FBgn0033196" "CG1358"
"FBgn0028940" "Cyp28a5"
"FBgn0027287" "Gmap"
"FBgn0053125" "CG33125"
"FBti0064304" ""
"FBgn0261953" "TfAP-2"
"FBgn0051219" "CG31219"
"FBgn0030734" "CG9911"
"FBgn0034060" "CG8370"
"FBti0018878" ""
"FBti0059861" ""
"FBgn0263569" "mir-4968"
"FBti0061335" ""
"FBti0062711" ""
"FBgn0051538" "CG31538"
"FBti0063633" ""
"FBgn0039500" "CG5984"
"FBtr0472747_df_nrg" ""
"FBgn0039336" "CG4553"
"FBgn0086757" "cbs"
"FBgn0052813" "CG32813"
"FBgn0034001" "mRpL41"
"FBgn0266633" "asRNA:CR45140"
"FBti0062685" ""
"FBgn0266534" "CG45095"
"FBgn0267535" "asRNA:CR45875"
"FBgn0025683" "CG3164"
"FBgn0263048" "Gpdh3"
"FBgn0034697" "GM130"
"FBgn0265377" "lncRNA:CR44318"
"FBgn0030926" "psh"
"FBgn0053300" "Muc30E"
"FBti0019163" ""
"FBti0062746" ""
"FBgn0030051" "spirit"
"FBti0019757" ""
"FBgn0037416" "Osi9"
"FBgn0051004" "mesh"
"FBti0060102" ""
"FBgn0051636" "CG31636"
"FBgn0034579" "mRpL54"
"FBgn0015278" "Pi3K68D"
"FBgn0039577" "CG12516"
"FBgn0266972" "lncRNA:CR45423"
"FBgn0034741" "CG4269"
"FBti0059704" ""
"FBgn0064116" "anox"
"FBgn0054029" "CG34029"
"FBti0059802" ""
"FBgn0032474" "DnaJ-H"
"FBgn0267158" "lncRNA:CR45598"
"FBti0060755" ""
"FBtr0304211_df_nrg" ""
"FBgn0265066" "lncRNA:CR44177"
"FBgn0264328" "asRNA:CR43787"
"FBgn0004622" "TkR99D"
"FBti0059809" ""
"FBti0061216" ""
"FBgn0051296" "CG31296"
"FBgn0263621" "CG43630"
"FBti0059975" ""
"FBgn0267222" "lncRNA:CR45662"
"FBti0063791" ""
"FBgn0086356" "tum"
"FBgn0265426" "lncRNA:CR44338"
"FBgn0028671" "Vha100-1"
"FBgn0037531" "CG10445"
"FBti0062877" ""
"FBti0061683" ""
"FBti0061122" ""
"FBgn0266213" "lncRNA:CR44908"
"FBgn0036958" "CG17233"
"FBgn0039904" "Hcf"
"FBgn0265311" "lncRNA:CR44284"
"FBgn0024182" "waw"
"FBgn0266889" "asRNA:CR45350"
"FBti0060799" ""
"FBti0060498" ""
"FBgn0053427" "5SrRNA:CR33427"
"FBgn0033079" "Fmo-2"
"FBgn0038964" "Nop56"
"FBgn0015622" "Cnx99A"
"FBgn0015584" "Acp53Ea"
"FBti0018956" ""
"FBgn0036028" "CG16717"
"FBgn0003254" "rib"
"FBti0019770" ""
"FBgn0262441" "mir-313"
"FBgn0065101" "snmRNA:204"
"FBgn0038552" "Alg1"
"RR46432_transposable_element" ""
"FBti0019179" ""
"FBgn0054045" "CG34045"
"FBgn0039994" "conu"
"FBgn0029137" "Patsas"
"FBgn0053739" "snmRNA:430m"
"FBgn0053194" "CheA29a"
"FBgn0262462" "mir-iab-4"
"FBti0062488" ""
"FBgn0265895" "lncRNA:CR44684"
"FBgn0032494" "CG5945"
"FBti0063776" ""
"FBti0059693" ""
"FBgn0040363" "CG11384"
"FBgn0263839" "snmRNA:CR43701"
"FBgn0037826" "CG14689"
"FBgn0031633" "Fnta"
"FBti0062982" ""
"FBti0062603" ""
"FBgn0051292" "CR31292"
"FBgn0035534" "mRpS6"
"FBgn0030484" "GstT4"
"FBti0062697" ""
"FBti0059985" ""
"FBgn0051064" "CG31064"
"FBgn0025642" "CG32812"
"FBgn0016675" "Lectin-galC1"
"FBgn0039806" "CG15545"
"FBgn0262580" "CG43120"
"FBgn0263468" "snoRNA:SC35-a"
"FBgn0263871" "lncRNA:CR43718"
"FBtr0304358_df_nrg" ""
"FBgn0026375" "RhoGAPp190"
"FBtr0304318_df_nrg" ""
"FBgn0032282" "CG7299"
"FBti0062500" ""
"FBgn0263911" "COX8"
"FBgn0262279" "mir-983-2"
"FBgn0031878" "sip2"
"FBti0064021" ""
"FBti0061828" ""
"FBgn0032080" "CG9525"
"FBti0102118" ""
"FBgn0033874" "CG6347"
"FBgn0261633" "CG42716"
"FBti0064310" ""
"FBti0064117" ""
"FBgn0039651" "Cyt-c1L"
"FBgn0033327" "PGRP-SC1b"
"FBti0061459" ""
"FBgn0034271" "Vps50"
"FBti0063698" ""
"FBti0060949" ""
"FBgn0266101" "CG44838"
"FBgn0033915" "CG8485"
"FBgn0026076" "UBL3"
"FBgn0030343" "ATP7"
"FBgn0031188" "CG14613"
"FBgn0001168" "h"
"FBgn0033931" "Obp50e"
"FBgn0036813" "Atg3"
"FBgn0264482" "lncRNA:CR43890"
"FBgn0032354" "CG4788"
"FBgn0267025" "asRNA:CR45469"
"FBgn0286919" "CR46419"
"FBti0019402" ""
"FBti0063859" ""
"FBgn0036328" "CG10749"
"FBgn0003009" "ord"
"FBgn0032491" "CG16815"
"FBgn0053508" "ppk13"
"FBgn0037855" "CG6621"
"FBgn0264493" "rdx"
"FBgn0053772" "CG33772"
"FBgn0034802" "CNBP"
"FBgn0035575" "CG7509"
"FBtr0309715_df_nrg" ""
"FBgn0035896" "CG6983"
"FBgn0085234" "CG34205"
"FBgn0040465" "Dlip3"
"FBgn0085753" "28SrRNA-Psi:CR40596"
"FBgn0034545" "CG13438"
"FBti0064050" ""
"FBgn0032061" "CG9314"
"FBgn0033917" "SmydA-1"
"FBtr0472786_df_nrg" ""
"FBgn0015521" "RpS21"
"FBgn0039283" "danr"
"FBti0060633" ""
"FBgn0029969" "CG10932"
"FBgn0043022" "snRNA:U5:38ABa"
"FBgn0036986" "CG5282"
"FBgn0035839" "CG7550"
"FBti0060395" ""
"FBti0060220" ""
"FBgn0001224" "Hsp23"
"FBgn0031947" "CG7154"
"FBgn0034487" "Efhc1.2"
"FBgn0030928" "CG15044"
"FBgn0250834" "CG33308"
"FBgn0029522" "CG13373"
"FBgn0265734" "lncRNA:CR44541"
"FBgn0263102" "psq"
"FBgn0001229" "Hsp67Bc"
"FBgn0083228" "Frq2"
"FBgn0035644" "DNApol-epsilon58"
"FBgn0053389" "5SrRNA:CR33389"
"FBgn0264512" "lncRNA:CR43911"
"FBgn0267634" "lncRNA:CR45972"
"FBgn0036286" "CG10616"
"FBgn0265262" "Vha68-1"
"FBti0061026" ""
"FBgn0051344" "CG31344"
"FBgn0085319" "CG34290"
"FBti0061031" ""
"FBgn0267817" "lncRNA:CR46142"
"FBti0061428" ""
"FBgn0035722" "CG10075"
"FBgn0031906" "CG5160"
"FBgn0264679" "asRNA:CR43964"
"FBgn0030696" "CG8509"
"FBgn0034467" "CG15128"
"FBgn0041337" "Cyp309a2"
"FBgn0050081" "Ir51b"
"FBgn0036352" "CG14110"
"FBgn0053051" "CG33051"
"FBgn0010288" "Uch"
"FBti0063681" ""
"FBti0019605" ""
"FBgn0259860" "Su(Ste):CR42429"
"FBti0062997" ""
"FBgn0261811" "pico"
"FBgn0003295" "ru"
"FBgn0031937" "CG13795"
"FBgn0024912" "agt"
"FBgn0038389" "CG5516"
"FBgn0260933" "rempA"
"FBgn0037035" "CG10589"
"FBgn0262125" "Sec23"
"FBgn0263490" "mld"
"FBgn0261596" "RpS24"
"FBti0114515" ""
"FBgn0085282" "CG34253"
"FBgn0265941" "lncRNA:CR44728"
"FBgn0053865" "His2A:CG33865"
"FBgn0031208" "CR11023"
"FBgn0266590" "lncRNA:CR45115"
"FBgn0037065" "CG12974"
"FBgn0263414" "asRNA:CR43460"
"FBgn0086904" "Nacalpha"
"FBgn0264826" "lncRNA:CR44034"
"FBgn0000038" "nAChRbeta1"
"FBgn0267507" "pre-rRNA:CR45847"
"FBgn0052010" "CR32010"
"FBgn0058441" "CR40441"
"FBgn0030670" "Pis"
"FBgn0001133" "grau"
"FBti0059785" ""
"FBti0063381" ""
"FBgn0011971" "tRNA:Ser-GCT-2-2"
"FBgn0030933" "CG6470"
"FBti0060294" ""
"FBti0059884" ""
"FBgn0030305" "Uba5"
"FBti0061414" ""
"FBgn0264842" "lncRNA:CR44050"
"FBti0061599" ""
"FBti0060308" ""
"FBgn0040298" "Myt1"
"FBgn0035150" "Rev1"
"FBgn0265710" "lncRNA:CR44517"
"FBgn0034965" "ppk29"
"FBgn0035918" "Cdc6"
"FBgn0004373" "fwd"
"FBgn0047038" "ND-13B"
"FBgn0032402" "PLCXD"
"FBgn0083965" "CG34129"
"FBti0062964" ""
"FBgn0052783" "Gem4c"
"FBgn0027057" "CSN1b"
"FBgn0266203" "lncRNA:CR44898"
"FBgn0031903" "Wnt10"
"FBti0060074" ""
"FBgn0085480" "CG34451"
"FBgn0031129" "CG1324"
"FBgn0030789" "Rrp45"
"FBti0062660" ""
"FBti0060887" ""
"FBgn0265531" "asRNA:CR44381"
"FBti0019408" ""
"FBgn0054007" "CG34007"
"FBti0060878" ""
"FBgn0032151" "nAChRalpha6"
"FBti0019907" ""
"FBgn0266010" "lncRNA:CR44783"
"FBgn0286881" "CR46403"
"FBti0059775" ""
"FBgn0035060" "Eps-15"
"FBgn0085464" "CG34435"
"FBgn0264445" "lncRNA:CR43863"
"FBti0060784" ""
"FBgn0050411" "CG30411"
"FBti0019729" ""
"FBgn0264885" "lncRNA:CR44076"
"FBgn0044810" "TotX"
"FBgn0266876" "lncRNA:CR45337"
"FBgn0051677" "CG31677"
"FBgn0082582" "tmod"
"FBgn0038032" "CG10096"
"FBgn0034463" "CG15125"
"FBgn0020299" "stumps"
"FBgn0031008" "CG8010"
"FBgn0037490" "CG10053"
"FBti0019301" ""
"FBti0060135" ""
"FBgn0030834" "CG8675"
"FBgn0011676" "Nos"
"FBgn0263497" "lncRNA:CR43486"
"FBgn0264544" "CG43923"
"FBgn0011670" "Mst57Dc"
"FBtr0445463_df_nrg" ""
"FBgn0005411" "U2af50"
"FBgn0036862" "Gbs-76A"
"FBti0063841" ""
"FBgn0052227" "gogo"
"FBgn0264340" "CG43796"
"FBgn0083033" "snoRNA:Psi18S-525f"
"FBgn0039094" "CG10184"
"FBgn0264505" "lncRNA:CR43904"
"FBti0059774" ""
"FBgn0040553" "CG14374"
"FBgn0045442" "mthl12"
"FBgn0287620" "lncRNA:CR46489"
"FBti0062062" ""
"FBti0062782" ""
"FBti0020232" ""
"FBti0060453" ""
"FBgn0263031" "CG43326"
"FBgn0038221" "IFT54"
"FBgn0032683" "kon"
"FBgn0003302" "rux"
"FBgn0036590" "CG13065"
"FBgn0264301" "CG43779"
"FBgn0042086" "Tsp42Eb"
"FBgn0031104" "jb"
"FBgn0029705" "CG12693"
"FBgn0265378" "lncRNA:CR44319"
"FBti0061920" ""
"FBgn0034461" "CG15124"
"FBgn0000077" "amx"
"FBgn0010774" "Ref1"
"FBgn0034325" "CG18539"
"FBgn0085197" "CG34168"
"FBgn0083017" "snoRNA:Psi18S-841c"
"FBgn0264324" "spg"
"FBgn0262455" "mir-1"
"FBgn0011884" "tRNA:Ile-AAT-1-6"
"FBgn0052673" "Rab9E"
"FBti0059858" ""
"FBgn0082993" "snoRNA:Psi28S-1936"
"FBti0061734" ""
"FBgn0031516" "CG9663"
"FBgn0044048" "Ilp5"
"FBgn0030890" "CG7536"
"FBgn0267888" "CR46176"
"FBti0060438" ""
"FBgn0028670" "Vha100-2"
"FBti0019636" ""
"FBgn0053372" "5SrRNA:CR33372"
"FBgn0003935" "snRNA:U5:34A"
"FBti0059891" ""
"FBgn0262181" "mir-972"
"FBti0060646" ""
"FBgn0261709" "lncRNA:CR42746"
"FBgn0040507" "ACXD"
"FBgn0265859" "lncRNA:CR44648"
"FBti0059662" ""
"FBgn0015296" "Shc"
"FBgn0039006" "Cyp6d4"
"FBti0060602" ""
"FBgn0267028" "lncRNA:CR45472"
"FBgn0037332" "Hcs"
"FBgn0265924" "lncRNA:CR44713"
"FBgn0039411" "dysf"
"FBgn0264376" "lncRNA:CR43828"
"FBgn0033005" "CG3107"
"FBgn0030946" "CG6659"
"FBgn0031529" "CG9662"
"FBgn0039691" "IntS11"
"FBgn0036588" "CG13068"
"FBgn0015904" "ara"
"FBgn0031428" "CG9886"
"FBgn0264775" "CG44013"
"FBti0062432" ""
"FBgn0035237" "CG13917"
"FBgn0031267" "Ipk2"
"FBgn0031772" "CG13994"
"FBgn0037232" "Suv3"
"FBgn0266415" "lncRNA:CR45055"
"FBgn0053474" "CG33474"
"FBgn0036154" "CG6168"
"FBgn0022768" "Pp2C1"
"FBgn0022355" "Tsf1"
"FBti0062093" ""
"FBti0059804" ""
"FBti0063477" ""
"FBgn0050147" "Hil"
"FBti0060353" ""
"FBgn0052208" "825-Oak"
"FBti0019211" ""
"FBti0019638" ""
"FBti0064212" ""
"FBgn0037667" "CG16734"
"FBti0063575" ""
"FBgn0023023" "CRMP"
"FBgn0031731" "CG14007"
"FBgn0030931" "Xrcc2"
"FBgn0031041" "Pstk"
"FBgn0053696" "CNMaR"
"FBti0061797" ""
"FBgn0260766" "CG42564"
"FBgn0038862" "Usp8"
"FBgn0265064" "lncRNA:CR44175"
"FBgn0047114" "CG31142"
"FBgn0028965" "A16"
"FBti0062060" ""
"FBgn0034199" "Gbp1"
"FBgn0283467" "Pol32"
"FBtr0472725_df_nrg" ""
"FBgn0013303" "Nca"
"FBti0064054" ""
"FBgn0000564" "Eh"
"FBgn0026389" "Or43a"
"FBgn0267706" "lncRNA:CR46039"
"FBgn0026741" "mRpL18"
"FBgn0283469" "Vps4"
"FBgn0260430" "CG42525"
"FBgn0034566" "CG9313"
"FBti0062319" ""
"FBgn0035636" "Cralbp"
"FBtr0472784_df_nrg" ""
"FBgn0005355" "Su(fu)"
"FBti0060350" ""
"FBti0020195" ""
"FBgn0034247" "CG6484"
"FBti0060153" ""
"FBgn0267558" "lncRNA:CR45898"
"FBti0019055" ""
"FBgn0025582" "eIF3e"
"FBgn0028926" "NC2beta"
"FBgn0045842" "yuri"
"FBgn0259979" "Cndp2"
"FBgn0003930" "snRNA:U4:39B"
"FBti0061407" ""
"FBtr0472769_df_nrg" ""
"FBgn0266349" "asRNA:CR44998"
"FBgn0035649" "CG10483"
"FBgn0039150" "CG13605"
"FBgn0051815" "CG31815"
"FBgn0267039" "lncRNA:CR45483"
"FBgn0263613" "lncRNA:CR43622"
"FBti0062687" ""
"FBgn0027512" "CG10254"
"FBti0062853" ""
"FBgn0042712" "HBS1"
"FBgn0030963" "CG7101"
"FBgn0266884" "lncRNA:CR45345"
"FBgn0262581" "CG43121"
"FBgn0039153" "GatB"
"FBgn0032848" "nesd"
"FBti0064184" ""
"FBgn0050460" "CG30460"
"FBgn0053526" "PNUTS"
"FBgn0053418" "5SrRNA:CR33418"
"FBgn0023516" "Pex5"
"FBti0063377" ""
"FBgn0020653" "Trxr-1"
"FBti0061530" ""
"FBgn0037430" "Osi20"
"FBti0060318" ""
"FBgn0053353" "5SrRNA:CR33353"
"FBgn0053477" "CG33477"
"FBgn0263324" "CG43405"
"FBgn0000280" "Cec-Psi1"
"FBgn0038566" "CG14317"
"FBgn0261112" "APP-BP1"
"FBgn0035743" "Acbp6"
"FBgn0038679" "CG6040"
"FBgn0053092" "P5CDh2"
"FBti0064309" ""
"FBgn0265098" "lncRNA:CR44203"
"FBgn0038581" "CG14314"
"FBgn0029994" "Ldsdh1"
"FBtr0304286_df_nrg" ""
"FBgn0027655" "htt"
"FBgn0053170" "CG33170"
"FBgn0083035" "snoRNA:Psi18S-525d"
"FBgn0033117" "CG3358"
"FBgn0267611" "lncRNA:CR45949"
"FBgn0053447" "5SrRNA:CR33447"
"FBgn0000611" "exd"
"FBgn0000137" "ase"
"FBti0062288" ""
"FBgn0030437" "hec"
"FBgn0036881" "Cpr76Bd"
"FBgn0266826" "lncRNA:CR45288"
"FBgn0013953" "Esp"
"FBgn0031627" "fipi"
"FBgn0264984" "lncRNA:CR44135"
"FBgn0285937" "Rab1"
"FBti0018914" ""
"FBgn0032290" "CG6443"
"FBti0062582" ""
"FBgn0025830" "IntS8"
"FBgn0031145" "Ntf-2"
"FBgn0085417" "natalisin"
"FBgn0038258" "CG7362"
"FBgn0051611" "His4:CG31611"
"FBgn0262619" "DNAlig1"
"FBgn0032287" "CG6415"
"FBti0019492" ""
"FBgn0004514" "Oct-TyrR"
"FBgn0000529" "bsh"
"FBgn0263336" "lncRNA:CR43417"
"FBgn0267755" "lncRNA:CR46086"
"FBti0020054" ""
"FBgn0267215" "lncRNA:CR45655"
"FBgn0050051" "Tmem18"
"FBgn0044872" "FucTC"
"FBti0060594" ""
"FBgn0029837" "Tsp5D"
"FBgn0034464" "CG11018"
"FBtr0309621_df_nrg" ""
"FBgn0033324" "CG14744"
"FBgn0263772" "CG43689"
"FBgn0034716" "Oatp58Dc"
"FBgn0031168" "CG1722"
"FBgn0003132" "Pp1-13C"
"FBgn0259932" "CG42455"
"FBgn0039184" "CG6432"
"FBgn0035788" "CG8541"
"FBgn0034173" "CG9010"
"FBgn0052815" "CG32815"
"FBgn0045498" "Gr22d"
"FBgn0031544" "CG17593"
"FBti0063233" ""
"FBgn0004885" "tok"
"FBgn0267114" "lncRNA:CR45554"
"FBgn0004778" "Ccp84Af"
"FBgn0053110" "CG33110"
"FBgn0262214" "mir-929"
"FBgn0039310" "CG11878"
"FBgn0263595" "lncRNA:CR43617"
"FBgn0050496" "CG30496"
"FBgn0030098" "CG12057"
"FBti0018977" ""
"FBgn0027504" "CG8878"
"FBgn0038510" "CG14331"
"FBgn0262856" "CG43220"
"FBgn0053247" "Ste:CG33247"
"FBgn0267653" "lncRNA:CR45991"
"FBtr0304453_df_nrg" ""
"FBgn0051577" "tRNA:Ala-AGC-1-1"
"FBti0062137" ""
"FBtr0472757_df_nrg" ""
"FBgn0031258" "CG4297"
"FBgn0265363" "asRNA:CR44304"
"FBgn0000964" "tj"
"FBgn0030854" "CG8289"
"FBgn0031091" "Phf7"
"FBgn0000241" "bw"
"FBgn0004811" "fs(2)ltoPP43"
"FBgn0034693" "CG11073"
"FBti0020016" ""
"FBti0062691" ""
"FBti0064179" ""
"FBti0060996" ""
"FBgn0037644" "CG11964"
"FBti0061782" ""
"FBti0062124" ""
"FBgn0262595" "CheA56a"
"FBti0019882" ""
"FBgn0035478" "CG10853"
"FBgn0039155" "Kal1"
"FBtr0309599_df_nrg" ""
"FBgn0050106" "CCHa1-R"
"FBti0062368" ""
"FBgn0036765" "CG7408"
"FBgn0039183" "Dis3"
"FBgn0261508" "CG42656"
"FBti0019235" ""
"FBgn0035309" "CG15879"
"FBgn0053192" "MtnD"
"FBgn0017577" "Mcm5"
"FBtr0472718_df_nrg" ""
"FBgn0036749" "CG7460"
"FBgn0025684" "MFS18"
"FBgn0036181" "Muc68Ca"
"FBgn0032938" "CG8671"
"FBgn0004143" "nullo"
"FBgn0038811" "Pus1"
"FBgn0267201" "lncRNA:CR45641"
"FBgn0033185" "CG1603"
"FBgn0038133" "Osi22"
"FBgn0015039" "Cyp9b2"
"FBgn0052748" "tRNA:Phe-GAA-1-1"
"FBgn0003082" "phr"
"FBgn0016660" "H15"
"FBgn0024509" "Sec13"
"FBtr0472828_df_nrg" ""
"FBgn0039441" "TwdlN"
"FBgn0032587" "CG5953"
"FBti0060787" ""
"FBgn0263339" "lncRNA:CR43420"
"FBti0060820" ""
"FBti0064277" ""
"FBgn0031299" "CG4629"
"FBgn0035084" "CG15861"
"FBgn0052672" "Atg8a"
"FBgn0035825" "CG8111"
"FBti0018923" ""
"FBti0019480" ""
"FBgn0053098" "CG33098"
"FBti0019658" ""
"FBgn0026189" "promL"
"FBgn0044817" "Ste12DOR"
"FBgn0051102" "CG31102"
"FBgn0031913" "CG5958"
"FBgn0050423" "CG30423"
"FBgn0053881" "His4:CG33881"
"FBgn0038358" "Ttc26"
"FBgn0030803" "CG4880"
"FBgn0287204" "Cog8"
"FBgn0027929" "NimB1"
"FBgn0040519" "CG15219"
"FBgn0010038" "GstD2"
"FBgn0051708" "DIP-zeta"
"FBti0020329" ""
"FBti0019489" ""
"FBgn0000404" "CycA"
"FBgn0038660" "Sgsh"
"FBgn0266186" "Vamp7"
"FBgn0266776" "lncRNA:CR45241"
"FBti0063183" ""
"FBgn0032211" "CG13138"
"FBgn0032519" "CG16957"
"FBgn0027580" "PCB"
"FBti0019985" ""
"FBgn0262146" "MtnE"
"FBgn0034417" "CG15117"
"FBgn0033308" "CG8736"
"FBgn0264500" "lncRNA:CR43899"
"FBgn0035827" "Srp9"
"FBgn0030189" "CG2909"
"FBgn0051871" "CG31871"
"FBgn0053361" "5SrRNA:CR33361"
"FBgn0267720" "lncRNA:CR46053"
"FBgn0035670" "CG10472"
"FBgn0040305" "MTF-1"
"FBti0062568" ""
"FBgn0038213" "CG9624"
"FBgn0051816" "CG31816"
"FBgn0038915" "CG17819"
"FBti0060794" ""
"RR48400_transposable_element" ""
"FBti0059763" ""
"FBgn0036947" "obst-F"
"FBgn0037535" "PIG-H"
"FBti0020278" ""
"FBti0019978" ""
"FBgn0028982" "Spt6"
"FBgn0036186" "CG6071"
"FBgn0050334" "CG30334"
"FBgn0267876" "CR46164"
"FBgn0266854" "CR45315"
"FBti0060867" ""
"RR48337_transposable_element" ""
"FBgn0052029" "Cpr66D"
"FBgn0263237" "Cdk7"
"FBgn0015011" "AhcyL2"
"FBgn0036210" "CG14130"
"FBgn0265761" "lncRNA:CR44568"
"FBgn0040877" "CG12994"
"FBgn0051368" "CG31368"
"FBgn0035286" "CG13924"
"FBgn0051892" "tRNA:Asp-GTC-1-3"
"FBgn0037464" "Mst84B"
"FBti0060473" ""
"FBti0062851" ""
"FBgn0028496" "CG30116"
"FBgn0043021" "snRNA:U5:38ABb"
"FBgn0262631" "lncRNA:CR43148"
"FBti0063919" ""
"FBgn0030306" "Spase25"
"FBgn0266979" "lncRNA:CR45430"
"FBgn0033422" "Or45b"
"FBgn0039833" "CG15564"
"FBgn0051888" "tRNA:Asp-GTC-1-9"
"FBgn0035711" "CG8519"
"FBgn0036537" "CG18081"
"FBgn0053516" "dpr3"
"FBgn0039329" "CG10669"
"FBgn0051525" "CG31525"
"FBgn0085254" "CG34225"
"FBtr0309618_df_nrg" ""
"FBgn0267298" "lncRNA:CR45734"
"FBgn0033549" "mms4"
"FBti0062665" ""
"FBgn0265103" "asRNA:CR44205"
"FBti0060885" ""
"FBti0063513" ""
"FBgn0262101" "CG42854"
"FBgn0032370" "CG12307"
"FBti0060136" ""
"FBtr0304423_df_nrg" ""
"FBgn0037617" "nom"
"FBgn0053239" "Ste:CG33239"
"FBgn0039663" "CG2321"
"FBgn0030008" "CG2129"
"FBgn0266357" "lncRNA:CR45005"
"FBgn0264372" "asRNA:CR43824"
"FBti0020076" ""
"FBgn0031719" "CG18269"
"FBgn0004364" "18w"
"FBtr0304486_df_nrg" ""
"FBgn0265707" "lncRNA:CR44514"
"FBgn0036224" "Rpt4R"
"FBgn0035751" "CG14829"
"FBgn0029506" "Tsp42Ee"
"FBgn0030081" "CG7246"
"FBgn0264380" "lncRNA:CR43832"
"FBgn0265598" "Bx"
"FBti0059749" ""
"FBgn0032750" "CG10495"
"FBgn0029121" "Sras"
"FBgn0266580" "Gp210"
"FBgn0050378" "CG30378"
"FBgn0051776" "CG31776"
"FBti0020026" ""
"FBgn0000061" "al"
"FBgn0004780" "Ccp84Ad"
"FBgn0053907" "His4:CG33907"
"FBti0060127" ""
"FBgn0000024" "Ace"
"FBti0059714" ""
"FBti0063842" ""
"FBgn0265675" "lncRNA:CR44482"
"FBgn0031391" "CG11723"
"FBti0061140" ""
"FBti0062511" ""
"FBti0062286" ""
"FBgn0053517" "Dop2R"
"FBgn0032068" "LManV"
"FBgn0003920" "snRNA:U2:14B"
"FBti0063234" ""
"FBgn0031397" "CG15385"
"FBgn0031545" "CG3213"
"FBgn0001078" "ftz-f1"
"FBgn0263473" "snoRNA:abba-a"
"FBti0061370" ""
"FBgn0052488" "CG32488"
"FBgn0031060" "CG14231"
"FBgn0035922" "Pex7"
"FBgn0053196" "dpy"
"FBgn0263032" "CG43327"
"FBgn0283500" "Sac1"
"FBgn0040906" "CG15579"
"FBti0019608" ""
"FBti0060655" ""
"FBgn0037205" "BoYb"
"FBgn0030196" "Psf3"
"FBgn0031216" "Zir"
"FBgn0015799" "Rbf"
"FBgn0025700" "CG5885"
"FBgn0032231" "CG5056"
"FBgn0036361" "CG10154"
"FBgn0030010" "CG10959"
"FBgn0001186" "Hex-A"
"FBgn0011936" "tRNA:Asn-GTT-1-3"
"FBgn0267525" "asRNA:CR45865"
"FBgn0266842" "lncRNA:CR45304"
"FBgn0267481" "asRNA:CR45831"
"FBgn0086778" "nAChRalpha7"
"FBgn0038135" "CG8773"
"FBgn0261586" "lncRNA:CR42696"
"FBgn0004242" "Syt1"
"FBti0019201" ""
"FBgn0040352" "CG14416"
"FBti0064198" ""
"FBgn0053283" "CR33283"
"FBgn0267486" "Ptp36E"
"RR49033_transposable_element" ""
"FBgn0047135" "CG32276"
"FBgn0030183" "CG15309"
"FBti0064232" ""
"FBgn0267527" "asRNA:CR45867"
"FBgn0051848" "CG31848"
"FBgn0036505" "CG7945"
"FBti0114509" ""
"FBti0059646" ""
"FBgn0033691" "CG8860"
"FBti0019307" ""
"FBgn0051697" "CG31697"
"FBgn0034142" "CG8306"
"FBtr0309624_df_nrg" ""
"FBgn0032246" "Wdfy2"
